Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),filename,Total Annual Memberships Sold
1/1/14,6559,6323722,9.254,"11,243,581",95971.0,29,268,10,./data-milestraveled2014_1Q.csv,
1/2/14,9334,6333056,11.735999999999999,"11,255,317",96000.0,42,66,3,./data-milestraveled2014_1Q.csv,
1/3/14,1288,6334344,1.855,"11,257,172",96042.0,23,1,1,./data-milestraveled2014_1Q.csv,
1/4/14,2494,6336838,3.7060000000000004,"11,260,878",96065.0,19,14,1,./data-milestraveled2014_1Q.csv,
1/5/14,2937,6339775,3.72,"11,264,598",96084.0,18,17,4,./data-milestraveled2014_1Q.csv,
1/6/14,10481,6350256,13.015999999999998,"11,277,613",96102.0,22,30,7,./data-milestraveled2014_1Q.csv,
1/7/14,7144,6357400,8.2,"11,285,814",96124.0,28,5,4,./data-milestraveled2014_1Q.csv,
1/8/14,10162,6367562,11.767999999999999,"11,297,582",96152.0,19,28,4,./data-milestraveled2014_1Q.csv,
1/9/14,14571,6382133,18.401,"11,315,983",96171.0,18,74,10,./data-milestraveled2014_1Q.csv,
1/10/14,10685,6392818,13.433,"11,329,416",96189.0,36,49,5,./data-milestraveled2014_1Q.csv,
1/11/14,8333,6401151,10.735,"11,340,151",96225.0,22,101,16,./data-milestraveled2014_1Q.csv,
1/12/14,13549,6414700,19.141,"11,359,291",96247.0,29,350,22,./data-milestraveled2014_1Q.csv,
1/13/14,22377,6437077,30.829,"11,390,121",96276.0,72,224,31,./data-milestraveled2014_1Q.csv,
1/14/14,10849,6447926,13.270999999999999,"11,403,392",96348.0,43,45,4,./data-milestraveled2014_1Q.csv,
1/15/14,23500,6471426,32.303000000000004,"11,435,695",96391.0,62,241,30,./data-milestraveled2014_1Q.csv,
1/16/14,21528,6492954,28.807,"11,464,502",96453.0,56,208,37,./data-milestraveled2014_1Q.csv,
1/17/14,21840,6514794,30.773000000000003,"11,495,275",96509.0,67,282,34,./data-milestraveled2014_1Q.csv,
1/18/14,10222,6525016,14.595999999999998,"11,509,870",96576.0,40,176,15,./data-milestraveled2014_1Q.csv,
1/19/14,9768,6534784,13.591,"11,523,461",96616.0,38,194,13,./data-milestraveled2014_1Q.csv,
1/20/14,14581,6549365,20.102999999999998,"11,543,564",96654.0,47,133,11,./data-milestraveled2014_1Q.csv,
1/21/14,4171,6553536,5.428999999999999,"11,548,993",96701.0,32,5,1,./data-milestraveled2014_1Q.csv,
1/22/14,2762,6556298,4.061,"11,553,054",96733.0,8,4,3,./data-milestraveled2014_1Q.csv,
1/23/14,5743,6562041,8.336,"11,561,390",96741.0,16,9,1,./data-milestraveled2014_1Q.csv,
1/24/14,6901,6568942,9.375,"11,570,765",96757.0,13,15,6,./data-milestraveled2014_1Q.csv,
1/25/14,4716,6573658,6.004,"11,576,770",96770.0,14,34,0,./data-milestraveled2014_1Q.csv,
1/26/14,5462,6579120,6.691,"11,583,461",96784.0,20,37,6,./data-milestraveled2014_1Q.csv,
1/27/14,14304,6593424,18.127,"11,601,588",96804.0,26,55,18,./data-milestraveled2014_1Q.csv,
1/28/14,11066,6604490,13.722000000000001,"11,615,310",96830.0,22,18,7,./data-milestraveled2014_1Q.csv,
1/29/14,10838,6615328,13.394,"11,628,704",96852.0,33,21,6,./data-milestraveled2014_1Q.csv,
1/30/14,13198,6628526,16.914,"11,645,618",96885.0,27,42,7,./data-milestraveled2014_1Q.csv,
1/31/14,15886,6644412,21.541,"11,667,159",96912.0,23,130,10,./data-milestraveled2014_1Q.csv,
2/1/14,13797,6658209,20.706999999999997,"11,687,866",96935.0,23,349,29,./data-milestraveled2014_1Q.csv,
2/2/14,15009,6673218,22.915,"11,710,781",96958.0,40,449,10,./data-milestraveled2014_1Q.csv,
2/3/14,2839,6676057,3.635,"11,714,416",96998.0,27,4,2,./data-milestraveled2014_1Q.csv,
2/4/14,9551,6685608,12.708,"11,727,124",97025.0,21,37,2,./data-milestraveled2014_1Q.csv,
2/5/14,3076,6688684,4.603,"11,731,727",97046.0,15,8,1,./data-milestraveled2014_1Q.csv,
2/6/14,8227,6696911,12.640999999999998,"11,744,368",97061.0,21,25,9,./data-milestraveled2014_1Q.csv,
2/7/14,9473,6706384,14.206,"11,758,574",97082.0,12,36,5,./data-milestraveled2014_1Q.csv,
2/8/14,6640,6713024,9.562999999999999,"11,768,137",97094.0,15,71,1,./data-milestraveled2014_1Q.csv,
2/9/14,5527,6718551,7.806,"11,775,942",97109.0,19,47,6,./data-milestraveled2014_1Q.csv,
2/10/14,7643,6726194,10.867,"11,786,809",97128.0,26,16,3,./data-milestraveled2014_1Q.csv,
2/11/14,9258,6735452,12.57,"11,799,379",97154.0,20,22,4,./data-milestraveled2014_1Q.csv,
2/12/14,9531,6744983,12.690999999999999,"11,812,070",97174.0,10,24,3,./data-milestraveled2014_1Q.csv,
2/13/14,978,6745961,1.725,"11,813,795",97184.0,7,3,1,./data-milestraveled2014_1Q.csv,
