Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),filename,Cumulative trips (since launch),Miles traveled to date,Total Annual Memberships Sold
1/1/15,5792,15216843.0,9191,26055797.0,127279.0,267,11,./data-milestraveled2015_1Q.csv,,,
1/2/15,12371,15229214.0,18222,26074019.0,127293.0,298,8,./data-milestraveled2015_1Q.csv,,,
1/3/15,4834,15234048.0,6282,26080301.0,127300.0,96,7,./data-milestraveled2015_1Q.csv,,,
1/4/15,8509,15242557.0,11700,26092001.0,127308.0,152,5,./data-milestraveled2015_1Q.csv,,,
1/5/15,15792,15258349.0,20022,26112023.0,127336.0,88,12,./data-milestraveled2015_1Q.csv,,,
1/6/15,9483,15267832.0,12003,26124026.0,127354.0,2,1,./data-milestraveled2015_1Q.csv,,,
1/7/15,10685,15278517.0,12791,26136817.0,127363.0,5,1,./data-milestraveled2015_1Q.csv,,,
1/8/15,9777,15288294.0,11667,26148484.0,127372.0,18,0,./data-milestraveled2015_1Q.csv,,,
1/9/15,8631,15296925.0,11093,26159577.0,127376.0,16,2,./data-milestraveled2015_1Q.csv,,,
1/10/15,6826,15303751.0,8189,26167766.0,127383.0,51,3,./data-milestraveled2015_1Q.csv,,,
1/11/15,8204,15311955.0,10199,26177965.0,127395.0,68,8,./data-milestraveled2015_1Q.csv,,,
1/12/15,9441,15321396.0,11589,26189554.0,127408.0,27,2,./data-milestraveled2015_1Q.csv,,,
1/13/15,14134,15335530.0,17429,26206983.0,127418.0,23,10,./data-milestraveled2015_1Q.csv,,,
1/14/15,14396,15349926.0,18105,26225088.0,127427.0,43,7,./data-milestraveled2015_1Q.csv,,,
1/15/15,15463,15365389.0,19803,26244891.0,127434.0,64,8,./data-milestraveled2015_1Q.csv,,,
1/16/15,15059,15380448.0,19084,26263975.0,127441.0,94,14,./data-milestraveled2015_1Q.csv,,,
1/17/15,8243,15388691.0,10818,26274793.0,127453.0,152,3,./data-milestraveled2015_1Q.csv,,,
1/18/15,2038,15390729.0,2435,26277228.0,127461.0,12,0,./data-milestraveled2015_1Q.csv,,,
1/19/15,11913,15402642.0,15733,26292961.0,127470.0,124,11,./data-milestraveled2015_1Q.csv,,,
1/20/15,17615,15420257.0,22740,26315701.0,127502.0,93,9,./data-milestraveled2015_1Q.csv,,,
1/21/15,16734,15436991.0,21228,26336929.0,127520.0,67,16,./data-milestraveled2015_1Q.csv,,,
1/22/15,17435,15454426.0,22630,26359559.0,127530.0,74,9,./data-milestraveled2015_1Q.csv,,,
1/23/15,17080,15471506.0,22248,26381807.0,127545.0,95,14,./data-milestraveled2015_1Q.csv,,,
1/24/15,5275,15476781.0,6723,26388530.0,127552.0,41,2,./data-milestraveled2015_1Q.csv,,,
1/25/15,10235,15487016.0,14421,26402951.0,127559.0,202,4,./data-milestraveled2015_1Q.csv,,,
1/26/15,4537,15491553.0,5979,26408930.0,127566.0,15,0,./data-milestraveled2015_1Q.csv,,,
1/27/15,1405,15492958.0,2343,26411273.0,127569.0,36,1,./data-milestraveled2015_1Q.csv,,,
1/28/15,6223,15499181.0,9907,26421180.0,127575.0,12,2,./data-milestraveled2015_1Q.csv,,,
1/29/15,9845,15509026.0,14171,26435351.0,127586.0,31,3,./data-milestraveled2015_1Q.csv,,,
1/30/15,9943,15518969.0,12945,26448296.0,127595.0,21,6,./data-milestraveled2015_1Q.csv,,,
1/31/15,5752,15524721.0,7328,26455624.0,127596.0,38,2,./data-milestraveled2015_1Q.csv,,,
2/1/15,7214,15531935.0,9186,26464810.0,127608.0,72,8,./data-milestraveled2015_1Q.csv,,,
2/2/15,1686,15533621.0,2635,26467445.0,127608.0,6,0,./data-milestraveled2015_1Q.csv,,,
2/3/15,5443,15539064.0,7816,26475261.0,127612.0,5,1,./data-milestraveled2015_1Q.csv,,,
2/4/15,9854,15548918.0,13775,26489036.0,127624.0,27,1,./data-milestraveled2015_1Q.csv,,,
2/5/15,9977,15558895.0,12607,26501643.0,127630.0,13,1,./data-milestraveled2015_1Q.csv,,,
2/6/15,9334,15568229.0,11948,26513591.0,127635.0,26,4,./data-milestraveled2015_1Q.csv,,,
2/7/15,7346,15575575.0,10045,26523636.0,127640.0,83,7,./data-milestraveled2015_1Q.csv,,,
2/8/15,7180,15582755.0,9671,26533307.0,127642.0,65,7,./data-milestraveled2015_1Q.csv,,,
2/9/15,5717,15588472.0,7234,26540541.0,127646.0,10,3,./data-milestraveled2015_1Q.csv,,,
2/10/15,11289,15599761.0,14526,26555067.0,127652.0,36,5,./data-milestraveled2015_1Q.csv,,,
2/11/15,12453,15612214.0,16204,26571271.0,127657.0,46,12,./data-milestraveled2015_1Q.csv,,,
2/12/15,12651,15624865.0,16248,26587519.0,127667.0,45,4,./data-milestraveled2015_1Q.csv,,,
2/13/15,8595,15633460.0,10773,26598292.0,127674.0,28,2,./data-milestraveled2015_1Q.csv,,,
2/14/15,5124,15638584.0,6392,26604684.0,127678.0,54,2,./data-milestraveled2015_1Q.csv,,,
2/15/15,2837,15641421.0,3289,26607973.0,127681.0,12,0,./data-milestraveled2015_1Q.csv,,,
2/16/15,4500,15645921.0,5423,26613396.0,127682.0,19,2,./data-milestraveled2015_1Q.csv,,,
2/17/15,5289,15651210.0,6869,26620265.0,127683.0,14,2,./data-milestraveled2015_1Q.csv,,,
2/18/15,10001,15661211.0,12995,26633260.0,127693.0,35,6,./data-milestraveled2015_1Q.csv,,,
2/19/15,8485,15669696.0,10080,26643340.0,127696.0,14,0,./data-milestraveled2015_1Q.csv,,,
2/20/15,6825,15676521.0,8056,26651396.0,127700.0,14,3,./data-milestraveled2015_1Q.csv,,,
2/21/15,3453,15679974.0,4164,26655560.0,127701.0,24,5,./data-milestraveled2015_1Q.csv,,,
2/22/15,4654,15684628.0,6648,26662208.0,127706.0,55,4,./data-milestraveled2015_1Q.csv,,,
2/23/15,8343,15692971.0,10519,26672727.0,127714.0,11,8,./data-milestraveled2015_1Q.csv,,,
2/24/15,8483,15701454.0,10675,26683402.0,127729.0,12,1,./data-milestraveled2015_1Q.csv,,,
2/25/15,12057,15713511.0,15655,26699057.0,127739.0,49,5,./data-milestraveled2015_1Q.csv,,,
2/26/15,11047,15724558.0,14744,26713801.0,127747.0,26,7,./data-milestraveled2015_1Q.csv,,,
2/27/15,10861,15735419.0,14313,26728114.0,127753.0,57,10,./data-milestraveled2015_1Q.csv,,,
2/28/15,6836,15742255.0,8975,26737089.0,127754.0,71,3,./data-milestraveled2015_1Q.csv,,,
3/1/15,3169,15745424.0,4042,26741131.0,127763.0,37,4,./data-milestraveled2015_1Q.csv,,,
3/2/15,8019,15753443.0,10767,26751898.0,127770.0,27,3,./data-milestraveled2015_1Q.csv,,,
3/3/15,7178,15760621.0,9430,26761328.0,127775.0,18,2,./data-milestraveled2015_1Q.csv,,,
3/4/15,8265,15768886.0,10842,26772170.0,127779.0,28,4,./data-milestraveled2015_1Q.csv,,,
3/5/15,1821,15770707.0,2604,26774774.0,127784.0,4,0,./data-milestraveled2015_1Q.csv,,,
3/6/15,5953,15776660.0,8248,26783022.0,127792.0,19,6,./data-milestraveled2015_1Q.csv,,,
3/7/15,6255,15782915.0,8849,26791871.0,127799.0,96,9,./data-milestraveled2015_1Q.csv,,,
3/8/15,8711,15791626.0,13701,26805572.0,127819.0,245,16,./data-milestraveled2015_1Q.csv,,,
3/9/15,16365,15807991.0,24159,26829731.0,127852.0,218,24,./data-milestraveled2015_1Q.csv,,,
3/10/15,13080,15821071.0,17626,26847357.0,127886.0,126,17,./data-milestraveled2015_1Q.csv,,,
3/11/15,21728,15842799.0,33446,26880803.0,127936.0,386,29,./data-milestraveled2015_1Q.csv,,,
3/12/15,19246,15862045.0,26931,26907734.0,127977.0,195,22,./data-milestraveled2015_1Q.csv,,,
3/13/15,17850,15879895.0,24699,26932433.0,128023.0,239,27,./data-milestraveled2015_1Q.csv,,,
3/14/15,4302,15884197.0,5592,26938025.0,128041.0,60,5,./data-milestraveled2015_1Q.csv,,,
3/15/15,9676,15893873.0,13635,26951660.0,128071.0,260,31,./data-milestraveled2015_1Q.csv,,,
3/16/15,18476,15912349.0,26091,26977751.0,128108.0,273,35,./data-milestraveled2015_1Q.csv,,,
3/17/15,16287,15928636.0,22462,27000213.0,128143.0,178,21,./data-milestraveled2015_1Q.csv,,,
3/18/15,15050,15943686.0,11465,27011678.0,128169.0,110,15,./data-milestraveled2015_1Q.csv,,,
3/19/15,16699,15960385.0,16176,27027854.0,128191.0,150,14,./data-milestraveled2015_1Q.csv,,,
3/20/15,8786,15969171.0,11465,27039319.0,128204.0,58,6,./data-milestraveled2015_1Q.csv,,,
3/21/15,10236,15979407.0,16176,27055495.0,128216.0,367,23,./data-milestraveled2015_1Q.csv,,,
3/22/15,10638,15990045.0,16098,27071593.0,128249.0,381,10,./data-milestraveled2015_1Q.csv,,,
3/23/15,14669,16004714.0,18957,27090550.0,128287.0,111,25,./data-milestraveled2015_1Q.csv,,,
3/24/15,17532,16022246.0,23581,27114131.0,128313.0,168,34,./data-milestraveled2015_1Q.csv,,,
3/25/15,15851,16038097.0,21456,27135587.0,128347.0,136,22,./data-milestraveled2015_1Q.csv,,,
3/26/15,16193,16054290.0,22876,27158463.0,128385.0,125,25,./data-milestraveled2015_1Q.csv,,,
3/27/15,15433,16069723.0,21520,27179983.0,128417.0,188,19,./data-milestraveled2015_1Q.csv,,,
3/28/15,1255,16070978.0,1562,27181545.0,128431.0,10,2,./data-milestraveled2015_1Q.csv,,,
3/29/15,10585,16081563.0,17373,27198918.0,128485.0,473,27,./data-milestraveled2015_1Q.csv,,,
3/30/15,19250,16100813.0,26828,27225746.0,128527.0,244,53,./data-milestraveled2015_1Q.csv,,,
3/31/15,15199,16116012.0,20532,27246278.0,128576.0,122,38,./data-milestraveled2015_1Q.csv,,,
4/1/15,21566,,31708,,,325,34,./data-milestraveled2015_2Q.csv,16137578.0,27277986.0,128629.0
4/2/15,26346,,43134,,,864,65,./data-milestraveled2015_2Q.csv,16163924.0,27321120.0,128698.0
4/3/15,15978,,23643,,,365,27,./data-milestraveled2015_2Q.csv,16179902.0,27344763.0,128735.0
4/4/15,15538,,27764,,,1029,46,./data-milestraveled2015_2Q.csv,16195440.0,27372527.0,128783.0
4/5/15,14962,,29709,,,1208,52,./data-milestraveled2015_2Q.csv,16210402.0,27402236.0,128846.0
4/6/15,25502,,43529,,,1065,73,./data-milestraveled2015_2Q.csv,16235904.0,27445765.0,128940.0
4/7/15,17640,,24209,,,270,33,./data-milestraveled2015_2Q.csv,16253544.0,27469974.0,129003.0
4/8/15,19223,,26004,,,276,30,./data-milestraveled2015_2Q.csv,16272767.0,27495978.0,129047.0
4/9/15,17723,,23891,,,163,20,./data-milestraveled2015_2Q.csv,16290490.0,27519869.0,129081.0
4/10/15,17648,,25628,,,289,37,./data-milestraveled2015_2Q.csv,16308138.0,27545497.0,129124.0
4/11/15,20451,,39786,,,1600,59,./data-milestraveled2015_2Q.csv,16328589.0,27585283.0,129193.0
4/12/15,21851,,46764,,,1951,87,./data-milestraveled2015_2Q.csv,16350440.0,27632047.0,129273.0
4/13/15,26980,,43753,,,603,73,./data-milestraveled2015_2Q.csv,16377420.0,27675800.0,129377.0
4/14/15,24452,,36555,,,334,53,./data-milestraveled2015_2Q.csv,16401872.0,27712355.0,129451.0
4/15/15,30184,,49727,,,733,84,./data-milestraveled2015_2Q.csv,16432056.0,27762082.0,129541.0
4/16/15,29273,,45915,,,617,57,./data-milestraveled2015_2Q.csv,16461329.0,27807997.0,129639.0
4/17/15,26164,,42203,,,671,81,./data-milestraveled2015_2Q.csv,16487493.0,27850200.0,129717.0
4/18/15,31024,,71371,,,3685,138,./data-milestraveled2015_2Q.csv,16518517.0,27921571.0,129802.0
4/19/15,23444,,46416,,,1851,103,./data-milestraveled2015_2Q.csv,16541961.0,27967987.0,129901.0
