Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),filename,3-Day Passes Purchased (midnight to 11:59 pm)
1/1/16,11009,24371025,24429,44606414,159362,919,51.0,./data-milestraveled2016_1Q.csv,
1/2/16,14587,24385612,29093,44635507,159403,877,34.0,./data-milestraveled2016_1Q.csv,
1/3/16,15499,24401111,29616,44665123,159459,784,27.0,./data-milestraveled2016_1Q.csv,
1/4/16,19593,24420704,36172,44701295,159502,166,33.0,./data-milestraveled2016_1Q.csv,
1/5/16,18053,24438757,32049,44733344,159534,121,22.0,./data-milestraveled2016_1Q.csv,
1/6/16,24569,24463326,40996,44774340,159564,265,27.0,./data-milestraveled2016_1Q.csv,
1/7/16,27773,24491099,45986,44820326,159588,318,24.0,./data-milestraveled2016_1Q.csv,
1/8/16,28709,24519808,47061,44867387,159621,364,28.0,./data-milestraveled2016_1Q.csv,
1/9/16,20846,24540654,37341,44904728,159654,632,20.0,./data-milestraveled2016_1Q.csv,
1/10/16,14275,24554929,25404,44930132,159682,391,18.0,./data-milestraveled2016_1Q.csv,
1/11/16,22937,24577866,37393,44967525,159731,155,32.0,./data-milestraveled2016_1Q.csv,
1/12/16,25211,24603077,38958,45006483,159761,151,23.0,./data-milestraveled2016_1Q.csv,
1/13/16,21133,24624210,31608,45038091,159792,82,15.0,./data-milestraveled2016_1Q.csv,
1/14/16,23780,24647990,37295,45075386,159813,123,29.0,./data-milestraveled2016_1Q.csv,
1/15/16,28435,24676425,45993,45121379,159841,379,27.0,./data-milestraveled2016_1Q.csv,
1/16/16,19178,24695603,35791,45157170,159885,803,37.0,./data-milestraveled2016_1Q.csv,
1/17/16,12024,24707627,20487,45177657,159910,387,22.0,./data-milestraveled2016_1Q.csv,
1/18/16,12718,24720345,19998,45197655,159931,123,13.0,./data-milestraveled2016_1Q.csv,
1/19/16,17281,24737626,26966,45224621,159957,64,12.0,./data-milestraveled2016_1Q.csv,
1/20/16,23419,24761045,35477,45260098,159972,126,11.0,./data-milestraveled2016_1Q.csv,
1/21/16,23671,24784716,36048,45296146,159991,133,15.0,./data-milestraveled2016_1Q.csv,
1/22/16,20950,24805666,31344,45327490,160004,115,6.0,./data-milestraveled2016_1Q.csv,
1/23/16,0,24805666,0,45327490,160005,0,0.0,./data-milestraveled2016_1Q.csv,
1/24/16,0,24805666,0,45327490,160013,0,0.0,./data-milestraveled2016_1Q.csv,
1/25/16,0,24805666,0,45327490,160020,0,0.0,./data-milestraveled2016_1Q.csv,
1/26/16,0,24805666,0,45327490,160028,0,0.0,./data-milestraveled2016_1Q.csv,
1/27/16,6760,24812426,13698,45341188,160039,54,6.0,./data-milestraveled2016_1Q.csv,
1/28/16,11944,24824370,22314,45363502,160053,81,9.0,./data-milestraveled2016_1Q.csv,
1/29/16,16028,24840398,26896,45390398,160064,118,27.0,./data-milestraveled2016_1Q.csv,
1/30/16,12964,24853362,23350,45413748,160084,328,23.0,./data-milestraveled2016_1Q.csv,
1/31/16,16112,24869474,31280,45445028,160118,533,17.0,./data-milestraveled2016_1Q.csv,
2/1/16,24334,24893808,42380,45487408,160160,202,31.0,./data-milestraveled2016_1Q.csv,
2/2/16,28527,24922335,47742,45535150,160189,280,31.0,./data-milestraveled2016_1Q.csv,
2/3/16,16203,24938538,24225,45559375,160216,63,12.0,./data-milestraveled2016_1Q.csv,
2/4/16,27765,24966303,47458,45606833,160247,304,24.0,./data-milestraveled2016_1Q.csv,
2/5/16,13669,24979972,25538,45632371,160257,102,7.0,./data-milestraveled2016_1Q.csv,
2/6/16,16933,24996905,38782,45671153,160280,586,35.0,./data-milestraveled2016_1Q.csv,
2/7/16,17605,25014510,31524,45702677,160316,622,30.0,./data-milestraveled2016_1Q.csv,
2/8/16,19026,25033536,28648,45731325,160335,80,20.0,./data-milestraveled2016_1Q.csv,
2/9/16,22740,25056276,40198,45771523,160364,156,9.0,./data-milestraveled2016_1Q.csv,
2/10/16,22418,25078694,38402,45809925,160395,130,17.0,./data-milestraveled2016_1Q.csv,
2/11/16,18747,25097441,27783,45837708,160425,87,15.0,./data-milestraveled2016_1Q.csv,
2/12/16,16445,25113886,27143,45864851,160450,104,16.0,./data-milestraveled2016_1Q.csv,
2/13/16,6625,25120511,11589,45876440,160459,46,4.0,./data-milestraveled2016_1Q.csv,
2/14/16,4652,25125163,6934,45883374,160468,78,4.0,./data-milestraveled2016_1Q.csv,
2/15/16,5883,25131046,8747,45892121,160480,43,1.0,./data-milestraveled2016_1Q.csv,
2/16/16,14225,25145271,27802,45919923,160505,53,19.0,./data-milestraveled2016_1Q.csv,
2/17/16,23572,25168843,38304,45958227,160528,182,26.0,./data-milestraveled2016_1Q.csv,
2/18/16,22261,25191104,34431,45992658,160550,202,26.0,./data-milestraveled2016_1Q.csv,
2/19/16,21959,25213063,35317,46027975,160568,268,17.0,./data-milestraveled2016_1Q.csv,
2/20/16,24484,25237547,53540,46081515,160618,1710,50.0,./data-milestraveled2016_1Q.csv,
2/21/16,20052,25257599,41645,46123160,160685,1228,29.0,./data-milestraveled2016_1Q.csv,
2/22/16,28233,25285832,48237,46171397,160749,455,37.0,./data-milestraveled2016_1Q.csv,
2/23/16,16133,25301965,26379,46197776,160784,62,10.0,./data-milestraveled2016_1Q.csv,
2/24/16,9761,25311726,14994,46212770,160814,38,3.0,./data-milestraveled2016_1Q.csv,
2/25/16,25102,25336828,42707,46255477,160849,237,23.0,./data-milestraveled2016_1Q.csv,
2/26/16,22574,25359402,36101,46291578,160887,254,19.0,./data-milestraveled2016_1Q.csv,
2/27/16,17226,25376628,37583,46329161,160910,706,18.0,./data-milestraveled2016_1Q.csv,
2/28/16,25440,25402068,61595,46390756,160982,2335,43.0,./data-milestraveled2016_1Q.csv,
2/29/16,27957,25430025,47933,46438689,161089,376,58.0,./data-milestraveled2016_1Q.csv,
3/1/16,30509,25460534,55160,46493849,161146,470,66.0,./data-milestraveled2016_1Q.csv,
3/2/16,26195,25486729,43535,46537384,161198,235,35.0,./data-milestraveled2016_1Q.csv,
3/3/16,24061,25510790,37848,46575232,161243,215,22.0,./data-milestraveled2016_1Q.csv,
3/4/16,17369,25528159,29100,46604332,161268,150,16.0,./data-milestraveled2016_1Q.csv,
3/5/16,18023,25546182,36875,46641207,161310,785,46.0,./data-milestraveled2016_1Q.csv,
3/6/16,18832,25565014,36377,46677584,161379,837,40.0,./data-milestraveled2016_1Q.csv,
3/7/16,31492,25596506,56232,46733816,161493,633,58.0,./data-milestraveled2016_1Q.csv,
3/8/16,36521,25633027,67958,46801774,161604,723,98.0,./data-milestraveled2016_1Q.csv,
3/9/16,41489,25674516,81662,46883436,161732,1226,125.0,./data-milestraveled2016_1Q.csv,
3/10/16,42252,25716768,82079,46965515,161867,1271,111.0,./data-milestraveled2016_1Q.csv,
3/11/16,38193,25754961,76636,47042151,161987,1266,79.0,./data-milestraveled2016_1Q.csv,
3/12/16,32770,25787731,81491,47123642,162086,3247,105.0,./data-milestraveled2016_1Q.csv,
3/13/16,27549,25815280,63214,47186856,162214,2216,67.0,./data-milestraveled2016_1Q.csv,
3/14/16,10930,25826210,16498,47203354,162289,70,17.0,./data-milestraveled2016_1Q.csv,
3/15/16,31595,25857805,57722,47261076,162380,582,79.0,./data-milestraveled2016_1Q.csv,
3/16/16,36067,25893872,68713,47329789,162482,930,78.0,./data-milestraveled2016_1Q.csv,
3/17/16,35390,25929262,65353,47395142,162583,785,98.0,./data-milestraveled2016_1Q.csv,
3/18/16,34647,25963909,69122,47464264,162670,933,87.0,./data-milestraveled2016_1Q.csv,
3/19/16,24048,25987957,49113,47513377,162733,1411,69.0,./data-milestraveled2016_1Q.csv,
3/20/16,16676,26004633,29737,47543114,162795,633,40.0,./data-milestraveled2016_1Q.csv,
3/21/16,26414,26031047,44457,47587571,162890,428,57.0,./data-milestraveled2016_1Q.csv,
3/22/16,33496,26064543,62248,47649819,163000,705,99.0,./data-milestraveled2016_1Q.csv,
3/23/16,40981,26105524,80289,47730108,163136,1279,120.0,./data-milestraveled2016_1Q.csv,
3/24/16,36495,26142019,67590,47797698,163216,1045,101.0,./data-milestraveled2016_1Q.csv,
3/25/16,34091,26176110,70525,47868223,163320,1684,128.0,./data-milestraveled2016_1Q.csv,
3/26/16,27474,26203584,67267,47935490,163407,2834,108.0,./data-milestraveled2016_1Q.csv,
3/27/16,22481,26226065,52462,47987952,163501,2080,67.0,./data-milestraveled2016_1Q.csv,
3/28/16,20344,26246409,35548,48023500,163589,375,60.0,./data-milestraveled2016_1Q.csv,
3/29/16,31481,26277890,55067,48078567,163681,588,97.0,./data-milestraveled2016_1Q.csv,
3/30/16,33674,26311564,61264,48139831,163770,769,64.0,./data-milestraveled2016_1Q.csv,
3/31/16,38192,26349756,79447,48219278,163865,1141,91.0,./data-milestraveled2016_1Q.csv,
4/1/16,34448,26384204,67595,48286873,163963,1113,82.0,./data-milestraveled2016_2Q.csv,0.0
4/2/16,21838,26406042,46206,48333079,164031,1193,63.0,./data-milestraveled2016_2Q.csv,0.0
4/3/16,15321,26421363,28615,48361694,164102,448,31.0,./data-milestraveled2016_2Q.csv,0.0
4/4/16,12302,26433665,20143,48381837,164167,49,19.0,./data-milestraveled2016_2Q.csv,0.0
4/5/16,26236,26459901,43723,48425560,164237,341,56.0,./data-milestraveled2016_2Q.csv,0.0
4/6/16,29364,26489265,48901,48474461,164310,443,37.0,./data-milestraveled2016_2Q.csv,0.0
4/7/16,30400,26519665,54591,48529052,164366,280,65.0,./data-milestraveled2016_2Q.csv,0.0
4/8/16,30811,26550476,53039,48582091,164425,542,51.0,./data-milestraveled2016_2Q.csv,0.0
4/9/16,12698,26563174,21151,48603242,164455,346,21.0,./data-milestraveled2016_2Q.csv,0.0
4/10/16,23228,26586402,49190,48652432,164536,1508,48.0,./data-milestraveled2016_2Q.csv,0.0
4/11/16,32048,26618450,59206,48711638,164632,668,82.0,./data-milestraveled2016_2Q.csv,0.0
4/12/16,23765,26642215,43504,48755142,164703,316,50.0,./data-milestraveled2016_2Q.csv,0.0
4/13/16,37538,26679753,71788,48826930,164790,761,106.0,./data-milestraveled2016_2Q.csv,0.0
4/14/16,38502,26718255,88278,48915208,164885,963,93.0,./data-milestraveled2016_2Q.csv,0.0
4/15/16,39676,26757931,86981,49002189,164996,1273,118.0,./data-milestraveled2016_2Q.csv,0.0
4/16/16,36148,26794079,102228,49104417,165139,3726,141.0,./data-milestraveled2016_2Q.csv,0.0
4/17/16,38838,26832917,115805,49220222,165354,4348,190.0,./data-milestraveled2016_2Q.csv,0.0
4/18/16,43989,26876906,102730,49322952,165576,1595,197.0,./data-milestraveled2016_2Q.csv,0.0
4/19/16,46075,26922981,107515,49430467,165812,1130,184.0,./data-milestraveled2016_2Q.csv,0.0
4/20/16,44542,26967523,104249,49534716,166002,1160,116.0,./data-milestraveled2016_2Q.csv,0.0
4/21/16,45568,27013091,104484,49639200,166153,1307,149.0,./data-milestraveled2016_2Q.csv,0.0
4/22/16,48806,27061897,113556,49752756,166319,4230,105.0,./data-milestraveled2016_2Q.csv,0.0
4/23/16,33631,27095528,96274,49849030,166462,3309,155.0,./data-milestraveled2016_2Q.csv,0.0
4/24/16,37862,27133390,115132,49964162,166692,4026,177.0,./data-milestraveled2016_2Q.csv,0.0
4/25/16,42303,27175693,100925,50065087,166902,1698,170.0,./data-milestraveled2016_2Q.csv,0.0
4/26/16,34639,27210332,75454,50140541,167048,741,97.0,./data-milestraveled2016_2Q.csv,0.0
4/27/16,41931,27252263,93272,50233813,167196,1395,110.0,./data-milestraveled2016_2Q.csv,0.0
